,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
295,2020-12-02 00:00:00,Vehicle loan or lease,Loan,Managing the loan or lease,Problem with the interest rate,"I purchased a new XXXX XXXX XXXX from XXXX XXXX in XXXX MT. I put {$20000.00} down & because I live a responsible life, I have not borrowed anything in many years. My credit score was XXXX w no history. They approved me @ 16 %. I agreed knowing I needed a few weeks to get the $ to pay the loan off. The 1st pymnt coupon was sent w the wrong address, but eventually making it. 
The pymnt is due XX/XX/2020 for {$610.00}, the principal balance was {$28000.00} & as of this statement dated XX/XX/2020 the payoff was {$28000.00}. 

I called today XX/XX/2020, was told the payoff was {$28000.00}. 

That is {$680.00} in interest before the 1st paymnt due date & {$480.00} over the statement amounts. I called the finance dept @ XXXX 3 times & a sales manager, waited on hold 15 minutes w no answer. Contacted my salesman, promising me a return call from a manager w no call yet. 

I called Chrysler Capital asking for a detailed breakdown & they were unable to provide. Please help. My account # at Chrysler is XXXX",None,Santander Consumer USA Holdings Inc.,MT,None,None,Consent provided,Web,2020-12-02 00:00:00,Closed with explanation,Yes,,3528890
296,2020-10-04 00:00:00,Checking or savings account,Savings account,Managing an account,Deposits and withdrawals,"Test transactions ( two credits and one debit ) by an external bank ( XXXX XXXX  ) have been counted towards the 6 withdrawals limited by the 204, Regulation D. 

Because of the limit, the automatically scheduled credit card payment at XXXX XXXX  was blocked ( due to limitation ) and the unsuccessful withdrawal assessed a {$29.00} fee by XXXX XXXX. 

Test transactions initiated by external banks should not be counted towards 6 withdrawal limit since those are not withdrawals authorized and/or initiated by me as defined by 204, Regulation D.",None,AMERICAN EXPRESS COMPANY,MD,None,None,Consent provided,Web,4/13/2020,Closed with explanation,Yes,,3600878
297,4/21/2020,Vehicle loan or lease,Loan,Incorrect information on your report,Account information incorrect,The balance on my credit report is inaccurate. I have disputed with no response. They never answer the phone but keep reporting me every month to the credit burrow.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,ALLY FINANCIAL INC.,CA,914XX,None,Consent provided,Web,4/21/2020,Closed with explanation,Yes,,3616398
298,5/14/2020,Vehicle loan or lease,Loan,Getting a loan or lease,Fraudulent loan,"XX/XX/XXXX - I went to XXXX  XXXX dealer and bought a new car.I gave them {$5.00} down payment in cash, paid {$550.00} for a GAP insurance and financed the rest of the value with the Financial Institution First Help Financial , which was indicated by the Salesman and negotiated by him. All negotiation was done by Salesman which I have emails that proved that I gave him my personal information. It was the first time that I was buying a new car so he told me that it would be better if I give my personal information to him so he could deal with the financial institution. XXXX- After almost of 2 years paying my auto loan on time ( paid {$17000.00} ) and without any late payment I contacted the financial institution First Help Financial to inform them that due to Covid- 19 Pandemic I had a substantial loss of income and I could not pay my loan on time the way that I was doing for all the time that I had my car loan. XXXXEven with all challenges due to this pandemic and my economic hardship situation I paid my car loan and they charged me a late fee. After this payment I asked the institution to send my contract copy loan so I could compare with the contract that I had in my hands and see if I could refinance my car loan with another financial institution with a better interest rate since my credit score improved drastically. XXXX First Help Financial sent the contract to me and for my surprise the contract that they sent has a signature that was not mine. IT WAS FORGED. Another thing is that the contract that they sent to me was different from the one that I signed with the XXXX XXXX XXXX. The amount financed is different from the contract that I have in my hands. Also the down payment value is different and the gap insurance does not appear in the forged contract. XX/XX/XXXX After realizing that FRAUD I contacted XXXX XXXX dealership by email and by phone and asked them to send the contract in my email. The contract that they sent to me has the same FORGED SIGNATURE which I do not recognize as mine. XX/XX/XXXX I contacted XXXX XXXX and First Help Financial again by phone and by email and explained that the signature is not mine and I do not recognize that contract. I also contacted the GAP insurance company XXXX XXXX, which is the company that the salesman told me that I have my GAP insurance/ contract signed by me and the company said that according to my VIN number they never had any contract with them. I have in my hands a contract with GAP Insurance which I bought at the moment that my cars purchase. After realizing that I was the victim of a scam I am constantly trying to contact the companies involved in this contract. All emails and documents that I have proves my situation and how hard I am willing to solve this problem. I had a financial loss but more than that I am concerned about my signature being frauded.I do not trust XXXX  XXXX and First Help financial anymore and I want to void the contract, my money back and return the car. With all documents and emails I can easily prove that my signature was forged. As a result of this unfair or deceptive act or practice, I suffered injury or loss of money as follows : {$5.00} Down Payment, {$550.00} GAP Insurance ( XXXX  XXXX ) {$17000.00} ( First Help financial )",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"First Help Financial, LLC",FL,None,None,Consent provided,Web,5/14/2020,Closed with non-monetary relief,Yes,,3651856
299,9/26/2019,Vehicle loan or lease,Loan,Managing the loan or lease,Billing problem,ON XXXX/12019 Caravans Post Operations Department attempted to perform unlawful practices by deducting my down payment prior to delivering the XXXX XXXX XXXX XXXX  by claiming they did not receive the down payment. XXXX XXXX informed me I was current on XX/XX//2019 and to continue to deal with them and disregard the threats because my down payment was paid and I was current on payments. XXXX from Post Operations Department was the contact at XXXX customeradvocate @ carvana,None,"Carvana Group, LLC",CA,928XX,Servicemember,Consent provided,Web,9/26/2019,Closed with explanation,Yes,,3386714
300,9/17/2019,Vehicle loan or lease,Loan,Getting a loan or lease,Confusing or misleading advertising or marketing,"I am formally listing a complaint against iLendingDirect.com. I received an offer for credit to refinance my vehicle at 84 months with a 3 % rate indicating an approval for the terms based on a soft inquiry. The lender then proceeded to make an unauthorized hard inquiry and offered terms substantially different than the terms ( 100bps higher ) expressed in the offering. Their marketing strategy is deceptive, offering teaser rates and terms they are not able reasonably extend to an individual. As this company has engaged in such deceptive tactics, I felt it necessary to report this activity to the CPFB. Please contact me with additional questions.",Company believes the complaint is the result of a misunderstanding,"Fleet Financial, Inc.",FL,347XX,None,Consent provided,Web,9/17/2019,Closed with explanation,Yes,,3376439
301,8/20/2019,Vehicle loan or lease,Loan,Managing the loan or lease,Billing problem,"On XX/XX/19, I purchased a used vehicle financed through Santander Consumer USA. I was informed the first payment will go out approximately 45 days from date of purchase. On XX/XX/2019, I received the first statement in the mail a few days after the statement generated. The statement reads bill due XX/XX/19. I went ahead and paid my first bill in XX/XX/2019.On XX/XX/XXXX, a second statement is generated by Billing Dept from Santander stating the bill owed for $XXXX due on XX/XX/19. Although it states current on the bill. The amount of $XXXX is not been applied for the bill due XX/XX/19, for which was paid on XX/XX/19.I called and spoke to an agent who requested I wait up to a week for the billing department to fix the mistake. After 6 days, I called and was told it has not been fixed. On day 8 ( XX/XX/19) I speak to an agent who finally understood the issue but failed to ignore my request to have a supervisor escalate the issue. On my screen in shows PAST DUE as in delinquent on the XX/XX/19 due date. After 30 minutes on waiting on the phone, I spoke with Supervisor named XXXX. She put me on hold and then said: ""Because you paid your bill 30 days earlier, we applied that towards your principal.""I firmly stated that this was not my objective but to pay my first bill as it was sent out 30 days earlier from billing department and now I am being punished for paying my first bill due. Clearly not a valid excuse on Santander. I demanded my payment be accredited to my account as there is only 1 bill due and I paid it already. I ask them to fix my account and get it right the first time. After another hold, she returned by stating they need another 3-5 days to fix the mistake. She stated the first agent put in a request for a due date issue and not the issue of the erroneous mistake made by their own billing department with regards to my new loan account. Once again, I am at their mercy to do what is right and fix my account to accredit the payment made in XX/XX/XXXX to reflect the payment due for XX/XX/19.This is not ethical nor a legal transaction that has occurred but rather an unscrupulous attempt to con me into paying off principal at their discretion and ignoring the first payment for the new auto loan. I would like to proceed and continue to file this grievance to the fullest extent of the law.Thank you.",None,Santander Consumer USA Holdings Inc.,CA,945XX,None,Consent provided,Web,8/20/2019,Closed with explanation,Yes,,3347820
302,8/15/2019,Vehicle loan or lease,Loan,Getting a loan or lease,Fraudulent loan,"By this means I request to be removed some accounts that are getting confused in my credit reports, I have never lived in the United States and in spite of the efforts I have made since XX/XX/2018 have not yet been removed. The accounts of XXXX / XXXX  # XXXX and XXXX # XXXX confused in my report are reporting recent backlogs which make it impossible and this is affecting my credit. 

I request the removal of variations of names mixed in my reports such as XXXX XXXX XXXX, addresses of the United States and Jobs that do not belong to me XXXX XXXX XXXX There are some positive accounts as they do not belong to me and they are still reprinting in my reports that I request to be removed, XXXX XXXX # XXXX, XXXX # XXXX, XXXX / XXXX XXXX # XXXX, XXXX # XXXX, XXXX / XXXX # XXXX, XXXX / XXXX XXXX # XXXX, XXXX XXXX # XXXX, XXXX XXXX # XXXX, XXXX XXXX # XXXX I request to be corrected and do not confuse again information of other people in my credit.",None,TOYOTA MOTOR CREDIT CORPORATION,PR,719,None,Consent provided,Web,8/15/2019,Closed with explanation,Yes,,3342495
303,7/26/2019,Vehicle loan or lease,Loan,Managing the loan or lease,Billing problem,"Just this month ( XX/XX/XXXX ), a "" late payment '' hit my credit report while I am in the middle of purchasing a house. I logged into the TD Auto Finance website ( which I never do b/c the payments are made in person at TD Bank counter ) and there was nothing obviously that would show anything was 30+ days late. What I did see was what the balance due for "" XX/XX/XXXX '' which is what they are stating is the missed/late payment. I called TD, spoke with a representative yesterday ( XX/XX/XXXX ). They stated that there was a payment missed in XX/XX/XXXX. It clearly was an accident because every payment before and after that has been on time and always more than the minimum. I was never notified about a missing payment. TD stated that do not call for missed payments but only send notices in the mail. I have never received one. They also said they sent me monthly statements, which I also have never received and they are looking into that. The on-line message center also has no notification in there under my account. When they told me it was late, I immediately paid the outstanding balance, which was less than a monthly payment due to all the over payments. Not only did they not make a fair attempt to contact me, they reported {$88.00} as "" 30 days late '' with the credit bureaus but posted it on my credit 9 months later as if i was recently late. Had they either called me and/or even added it my credit when it was truly late, I would have paid it immediately. Now my current home loan I'm working on is at risk. They told me there was no phone or e-mail to contact anyone, I would only be able to mail my complaint to the Credit Dispute Department. My home is supposed to close in less than 3 weeks and this is now an issue.",None,TD BANK US HOLDING COMPANY,FL,335XX,None,Consent provided,Web,7/26/2019,Closed with explanation,Yes,,3319149
304,10/23/2019,Vehicle loan or lease,Loan,Managing the loan or lease,Billing problem,"In XXXX I was double charged for my truck payment. When I contacted Westlake financial they said they would try to money transfer it back into my account if not they would send me the double payment check via standard mail. Then 2 weeks later I reached out to them they said it didnt work. I asked to have the check resent. Then Once 8 business days had passed and I have not received the check in the mail, I called back and asked to have the check canceled and just applied to XXXX truck payment. The women told me no problem she just had to email the accounting department to have them do so. I would see it applied with 48 hours. That was Monday XX/XX/XXXX. Then on XX/XX/XXXX. ( The day my payment is due ) I received an email stating i am late on my payment. I have call numerous times asking to have it fixed and asking for a supervisor. Every time I was either told they do not have supervisors, or put on hold for hours at a time. Or just hung up on. Then today XX/XX/XXXX I called, finally was given to a floor lead person named indigo, she told me theres nothing they can do but send another email asking approval for them the send another check for the payment I was double charge. Which I could be denied for again. which will take 7-10 business days do them to start the process. but if I dont pay my payment within 8 days they are going to start charging me late fees if I dont pay it soon.",None,"Westlake Services, LLC",NY,140XX,None,Consent provided,Web,10/23/2019,Closed with explanation,Yes,,3414647
305,10/17/2019,Vehicle loan or lease,Loan,Problems at the end of the loan or lease,Problem while selling or giving up the vehicle,I brought a car from from car hop the check engine light on and the car was recalled unable to get tags recall d fixed without me paying for it a short in the headlights and panel causing a fire advised car hop this was a lot will like to return car threaten to ruin my credit even if I volunteerly return the car this car can't even get CA dmv tags,None,UNIVERSAL ACCEPTANCE CORPORATION (NE),CA,945XX,None,Consent provided,Web,10/18/2019,Closed with explanation,Yes,,3408498
306,10/16/2019,Vehicle loan or lease,Loan,Managing the loan or lease,Billing problem,Loan with Santander Consumer USA contract signed on XX/XX/XXXX with 60 monthly payments. 1st payment due in XX/XX/XXXX. The co-signor ( ex-boyfriend ) and myself parted ways in XXXX. I was not aware he failed to make the XX/XX/XXXX payment. I contacted the bank a few months after advising them that the co-signor and I are no longer together and I was stuck paying for the entire household bills and two car payments and I needed to see what they can assist me with. The extended the loan for XX/XX/XXXX and changed my payment arrangement from {$350.00} per month to the principal of {$210.00} for 6 months. The original payment will be come due XX/XX/XXXX. I have contacted them on numerous occasions telling them their accounting and the payments to the account are not being credited correctly. I said 1 day I owe {$2200.00} I make a payment and it comes down to {$1500.00}. I recently just went on my account XX/XX/XXXX @ XXXX in showed that I owed a balance {$1500.00}. I made a payment of {$350.00} logically and in basically math from their system should have said balance {$1100.00} but as of today it shows {$950.00}. I have made all payments according to arrangements.,None,Santander Consumer USA Holdings Inc.,MD,None,None,Consent provided,Web,10/16/2019,Closed with explanation,Yes,,3408085
307,8/15/2019,Checking or savings account,Savings account,Problem with a lender or other company charging your account,Transaction was not authorized,"On XX/XX/XXXX at XXXX when attempting to transfer money from my checking account to my savings I noticed that {$9500.00} was missing from the account and that on XX/XX/XXXX ( 4 days prior ) {$9500.00} had been wired to a XXXX XXXX XXXX Bank Account to an individual I have never heard of. I have never initiated a wire transfer in my life, nor did I initiate this wire transfer, nor have I ever been asked to provided written authorization for wire transfers. I promptly called my bank, USAA, and informed them of the fraudulent activity. A report was made, and an investigation began, and I was reassured I would get the funds returned to the account. Within an hour of initiating the report, I received a call from the fraud investigator assigned to my case. She proceeded to tell me that because the fraudster was able to get into my account easily using my username and password that USAA was not liable for recouping the funds lost. She stated a recall on the wire was sent and an investigation would follow. I never heard back from the fraud team, was never asked any questions or asked to give any information to help with the investigation. The evening of XX/XX/XXXX I called USAA to receive further clarification on how it is possible that I would be held liable for fraudulent activity that the bank allowed regardless of various elements of the activity that should have raised red flags. Red flags that should have been raised regarding the wire transfer include the following : I have never signed anything stating that I authorize wire transfers from any of my accounts, I have never conducted a wire transfer before in my life let alone with USAA, the request was presumably from a unauthorized IP address on an unauthorized device, for the amount of {$9500.00} ( only XXXX less than the amount legally required to be reported federally ). I am left to assume the wire was initiated from and sent to a distant location as no one at USAA could give me any information on the IP address where the wire was initiated or sent. Not keeping record of this data alone is suspicious for negligence in addition to the fact that USAA 's "" verification '' process for a wire transfer of half the funds in an account is not commercially reasonable. The "" verification '' process for the wire transfer included inserting user name and password. There was apparently a code sent to an email address on file. However, I have only received verification codes sent in the form of text messages to my mobile phone and have never verified my identity via email. I also have no record of such an email. In addition, because this is not routinely the verification method used or agreed upon by the Bank and the Service,  USAA should be liable for any losses through the fraudulent transfer. 

After the call with USAA on the evening of the XXXX I called the XX/XX/XXXX police department to file a police report. I was informed by the police that without the location of where the wire was initiated or sent to I would be unable to properly file a report in correct jurisdiction. 

On the morning of the XXXX of XX/XX/XXXXI called USAA to reach the wire department to try to obtain information regarding the location of the transfer to file the report. No one was able to give me that information further delaying the police report. I was sent to wire resolutions who informed me I should be protected as the wire was clearly fraudulent and I was a victim of an account take over. I was then transferred to the Account Takeover Team who told me I was not a victim of account takeover but actually considered a third party to a scam due to the fact my information was compromised. After denying my right to be protected against fraudulent transactions reported well within the 60 days of the event I requested to escalate the situation to the manager. After reviewing my file the manager of the Account Takeover Team informed me that there was a letter addressed to me in my file stating that my request for return of funds had been denied and the case had been closed. This was the first I had heard of this resolution as I had not been contacted by the Fraud Investigators since XX/XX/XXXX when they informed me that all they could do was initiate a wire recall. The manager proceeded to file a complaint to the CEO on my behalf and told me there was no one else who I would be able to speak to regarding the matter. 

The afternoon of XX/XX/XXXX I filed a police report with XX/XX/XXXX police. I also filed a report with the FBI, Ic3.gov which is a division of the FBI, the FTC Federal Trade Commission , and the CFPB Consumer Financial Protection Bureau . I also initiated fraud monitoring through the three credit Bureaus : XXXX, XXXX, and XXXX. I am awaiting a response from the CEO of  USAA for approval of return of the lost funds totaling {$9500.00}.",Company believes it acted appropriately as authorized by contract or law,UNITED SERVICES AUTOMOBILE ASSOCIATION,DC,200XX,Servicemember,Consent provided,Web,8/15/2019,Closed with monetary relief,Yes,,3341586
308,10/17/2019,Vehicle loan or lease,Loan,Struggling to pay your loan,Denied request to lower payments,Unable to come to an agreement on interest rates on used car loan when my credit was good. Now Im behind on payments and my credit got worse I e been upside down on this loan with no recourse.,None,CAPITAL ONE FINANCIAL CORPORATION,FL,327XX,None,Consent provided,Web,10/17/2019,Closed with explanation,Yes,,3408710
309,2019-03-10 00:00:00,Vehicle loan or lease,Loan,Managing the loan or lease,Billing problem,"Multiple times I would keep getting a "" technical difficulties '' message and could hardly work around their site. As a result, I was not allowed to make payments ( in addition to my auto-enrolled payments ) for weeks at a time. This impacts me in that I should have had lower principal being impacted by interest. By now it's a couple hundred dollars that I am behind due to their site issues. It is a complete joke to have  a website and have it have no capabilities. 

Additionally, their website is so poorly laid-out and managed that you will have no idea what your payments are and how they are being applied ( principal vs interest ). 

They have a secure message option on the website, but they are incapable of responding via email through this option - you will only receive auto-replies that include symbols making it appear as if this whole thing is a scam ( still not convinced it isn't at this point ). 

These auto-replies are only capable of saying TD Auto can not respond via email and you must call them ... which is a waste of time, unless you enjoy sitting on the phone for an hour to remedy absolutely nothing.",None,TD BANK US HOLDING COMPANY,MN,551XX,None,Consent provided,Web,2019-03-10 00:00:00,Closed with explanation,Yes,,3394985
310,10/21/2019,Vehicle loan or lease,Loan,Getting a loan or lease,Credit denial,"Approximately 2 months ago, an online profile was set up with USAA, both for my father ( a veteran ) and myself. The account setup was successful, and a deal was made at my local XXXX dealer. The dealer asked me to call USAA to get the loan process started, and I was informed that my account was blocked and USAA reserved the right to do business with me. My husband and I were concerned, becuase we have strong credit scores and have never been refused credit before. We came home and checked our credit reports, which were in order. The next several days were spent on the phone with various departments of USAA, no one had an explanation, except to say that fraud was suspected and that I should write to the legal department, which I did. An investigator from the fraud department was in touch, and after his investigation, he held that USAA refused to do business with myself and/or my father, no explanation would be given. I believe as a financial consumer, I have the right to know why I was denied an opportunity to apply for credit. Also, no written notification was given.",Company believes it acted appropriately as authorized by contract or law,UNITED SERVICES AUTOMOBILE ASSOCIATION,AZ,853XX,None,Consent provided,Web,10/21/2019,Closed with explanation,Yes,,3412718
311,10/16/2019,Vehicle loan or lease,Loan,Managing the loan or lease,Problem with fees charged,"On XX/XX/XXXX I called credit acceptance because I noticed the last bit of my payment didn't come off on the XXXX like it usually does. I didn't think much of it at the time, thinking it would charge me the next day. Not until I checked my credit report and noticed I dropped 56 points. The company had marked my XXXX payment as 30 days late when not even a day has passed. I called on the XXXX and was not even able to get an answer to how this happen. They just wanted me to pay what was due which was XXXX and some change. The first gentleman didn't even try to listen to me stating my payment was XXXX, and once I paid this off the account would be closed. I finally got to send a dispute on behalf after questioning it several times. I had questions on how this can happen, and he absolutely refused to help me what so ever. Just trying to get me to pay despite my understanding it should have been taken out of my account already. I finally went to pay over phone and there was a fee attach to pay over the phone. So not only did they drop my credit score for a payment that was never late, but they wanted me to spend extra to pay what was left. I called to get a person again, and once more had trouble getting any help. The woman stated my auto pay was canceled and said I must have canceled it. Which is not true. When it was set up I was told it would go until I didn't owe anymore. Again it was hard to get any answers out of her. When I asked about me getting marked late she said I've been late on my payment which is not true. I had one late in XX/XX/2016 which I quickly cleared up. In almost 3 years I've been on top of payments and not once was I ever told I was behind. She remarked saying I rarely called and I let her know I didn't have a reason to call. My payments came out on time with no worries all 3 years. Honestly I'm extremely frustrated because I've been working so hard to get my credit up, and at the whim of this company they decided to mark me late for no reason. Then when I try to get an answer I get no help just saying to pay the rest to close the account. Then the real kicker is make me pay a small fee to pay off the rest of my account. The money isn't the issue here. It '' s the fact that the customer service was utterly lacking and has an impact on my credit score. If I try to finance a car again, and it had to be with this company again. I'll just take an uber until I can pay the car off fully in cash. 

P.s I'm adding screenshots to show how I've been on time for 3 years. How this has affected my credit score. Proof that I paid the remaining amount off. I dont have my bank statements included because I'm not sure if you wish to dig thru 3 years of bank statements, but I will be happy to provide that if it comes down to it.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CREDIT ACCEPTANCE CORPORATION,FL,None,None,Consent provided,Web,10/16/2019,Closed with explanation,Yes,,3407568
312,10/25/2019,Vehicle loan or lease,Loan,Struggling to pay your loan,Loan balance remaining after the vehicle is repossessed and sold,I have checked my XXXX and XXXX credit reports. I have noticed that the account with Santander regarding a car loan still reflects a balance for {$12000.00}. But this amount was charged off.,None,Santander Consumer USA Holdings Inc.,NY,104XX,None,Consent provided,Web,10/25/2019,Closed with non-monetary relief,Yes,,3417560
313,10/19/2019,Checking or savings account,Savings account,Managing an account,Deposits and withdrawals,"On XX/XX/2019 at XXXX XXXX, I received a call from the number XXXX from a person claiming to be a Bank of America representative who said that the system has detected a fraud activity on my account. She requested that I give her the three-digit security code on the back of my Bank of America debit card in order to confirm my identity. I thought that this was a scam call so I hung up. 

I immediately logged into my Bank of America Mobile Banking Application on my phone to check my accounts. When I tried to log in, I received an alert that my password had been changed and that my account had been locked. I reset my password and continued on with my day. 

The next day, XX/XX/2019, while checking my banking mobile app, I saw that a transaction Discover Card ending in XXXX for the amount of {$5700.00} was made on my Bank of America Advantage Savings Account. I called Bank of America to report that I had not made/authorized this transaction. I filed a claim to get my money back as this transaction was still pending and I was told that the process would take 7-10 business days.

The representative stated that someone had gained access to my bank account using my username and password, and this person asked me to reset my username and password in order to prevent further fraud activity on my account. While speaking to the representative, I saw that there were two more transactions being made on the same Savings account : the first being a transaction for {$4300.00} under the name XXXX XXXX Credit Card ending in XXXX, and the second transaction for {$5400.00} under the name XXXX XXXX Credit Card ending in XXXX. These two transactions had been declined.

I called the Bank of America Fraud Claims Department ( XXXX ) several times between XX/XX/2019 and XX/XX/2019 to get updates on the status of the claim but was told that I would have to wait the full 10 business days before anything could be done. 

On XX/XX/2019, I reached out to the Bank of America Fraud Claims Department because 10 business days had passed since I had submitted my claim. I was surprised to hear that my claim had been denied on XX/XX/2019. Bank of America claims that this transaction had been performed from my device with the same IP address that I always use to access my Mobile Banking Application. I reinforced that I had not made this transaction and that I do not even have any Credit Cards accounts with XXXX or XXXX XXXX. The Bank of America Fraud Claims representative told me that this denial decision was final, unless I could bring forth evidence that my phone had been hacked with a virus or malware at the time of the fraudulent transaction. 

The representative then advised my to speak to my phone provider ( XXXX ) to run a virus scan on my XXXXXXXX XXXX device. I visited two XXXX stores and both claimed that they do not run such virus scans. I reached out to the Bank of America Fraud Claims Department again to inform them of this. Another representative then advised me to visit a XXXX location near me to run a virus test on my device. I followed the representatives instructions and went to a XXXX location and after purchasing an anti-virus software, I was informed that there were several viruses on my device that the software was able to remove. I faxed a letter from the XXXX technical department to the Bank of America Fraud Claims Department to prove that my device had in fact been hacked. 

I called XXXX Customer Service to see if any fraudulent activity had been detected on my device. However, I was told that they could not detect any fraudulent activity on my account. 

I even reached out to XXXX Customer Service to see if any fraudulent activity had been detected on my email since this email address was linked with the bank account at the time. They were not able to detect any fraudulent activity. 

I approached the police department to file a police report and was told that I would need an Affidavit from Bank of America stating the situation but the bank refused to give me an Affidavit. They stated that they could only provide me with a denial letter for the claim. I even tried to speak to a Bank of America Branch manager in my local branch but the representatives told me there was nothing they could do to help me and that only the Fraud Claims department could handle my claim. The bank is refusing to give me an affidavit which is necessary for me to file a police report and go forth with any police investigations. 

I have exhausted all options now. I did not conduct this transaction. I did not use my device to make these transactions. I was not sent any verification emails or text messages to authorize such a transaction from my savings account. I do not have any accounts with XXXX or XXXX XXXX. Bank of America is refusing to reopen my claim even though they are responsible for protecting me and my accounts from fraudulent activity. Bank of America did not even look into who these accounts belong to and has simply disregarded my concerns.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,112XX,None,Consent provided,Web,10/19/2019,Closed with non-monetary relief,Yes,,3411046
314,9/23/2019,Vehicle loan or lease,Loan,Managing the loan or lease,Loan sold or transferred to another company,"I purchased a new vehicle initially financed through XXXX   XXXX! At the time of purchase I told the new car salesperson at XXXX XXXX in XXXX XXXX Michigan I had autmobile insurance with the XXXX XXXX XXXX XXXX who I have been insured with since XX/XX/XXXX. This transaction was in XX/XX/XXXX. The salesman, instead of calling XXXX to transfer insurance from the vehicle I XXXX in, apparently had a friend --?? 
who would give him "" Proofs of Insurance '' so the dealership could issue license plates and register the vehicle. This friend fraudulently purchased insurance-which I never applied for -- with an insurance company called XXXX who remained on my Credit History and effected what I had to pay at the time I traded in the car I owned, bought at XXXX XXXX, initially financed through XXXX XXXX, and transferred without my consent to Ally Financial. When I traded in the vehicle I purchased resulting in an Ally Financial Account there was some comprehensive damage sustained when someone hit my vehicle while I was shopping at XXXX XXXX XXXX in XXXX, MI. I notified my automobile insurance company, XXXX, of the loss. When I traded in the vehicle, XXXX told me they paid off all monies owed to Ally as part of their payment of the comprehensive damage claim. I was told by Ally today they sold my vehicle at auction for $ XXXX- WHICH I WAS NEVER NOTIFIED OF THE ALLEGED SALE- I TRADED THE VEHICLE IN AND THOUGHT XXXX  a/k/a XXXX XXXX XXXX   XXXX XXXX XXXX , paid off any monies owed to Ally when I traded the vehicle in and purchased a new vehicle. Ally should not be reporting me as having a vehicle loan that was charged off. Firstly the initial sale was fraudulent, XXXX knew and when Ally assumed the loan from XXXX they should have known. Next I thought the Ally loan was paid off by XXXX when I traded the vehicle in to purchase a new car. I called XXXX today because I applied for credit and was denied because of the Ally loan adversely reporting. This reporting is wrong because the initial loan was fraudulent, and the balance was timely paid in full by XXXX. Please have Ally remove the adverse reporting to the three Credit Reporitng Bureaus-XXXX ; XXXX, and XXXX.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,ALLY FINANCIAL INC.,MI,483XX,Older American,Consent provided,Web,9/23/2019,Closed with explanation,Yes,,3383402
315,10/27/2019,Vehicle loan or lease,Loan,Struggling to pay your loan,Loan balance remaining after the vehicle is repossessed and sold,"On XX/XX/XXXX, i purchased a new Harley Davidson XXXX XXXX motorcycle for {$15000.00}. On XX/XX/XXXX I brought the bike to the dealership for a recall and when I went to pick it up it was gone. It was picked up by the co-borrower and a third party. The sherriff refused to help and it was several months before I got the bike back from the co- borrower. During that time I did not make payments, several phone calls a day came in from Harley Davidson Financial, including additional calls to my place of employment. I lost my job due to the daily calls at work which slowed my attempts to get the account in good standing. As a result a voluntary repossession took place. To make matters worse, hurricane XXXX hit Florida a few days later and was told I could not pay to get it back because it was damaged beyond repair. I was also told, ( by an attorney ), that because the bike was in the posession of the recovery company at the time of the hurricane, their insurance company would have to settle with Harley Davidson. Not long after I received a letter stating it was charged off as bad debt, affected by natural disaster. Now 3 years later, I just received a collection notice for {$8500.00}. Is Harley Davidson entitled to be paid twice? Am I still liable for the loss even though the damage occured elsewhere?",None,Harley Davidson Financial Services Inc,CT,060XX,None,Consent provided,Web,10/27/2019,Closed with explanation,Yes,,3419079
316,2019-05-11 00:00:00,Vehicle loan or lease,Loan,Getting a loan or lease,Confusing or misleading advertising or marketing,"You falsely advertise that you help consumers. In actuality, you suck every penny that you illegally can from them.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CREDIT ACCEPTANCE CORPORATION,WA,None,None,Consent provided,Web,2019-05-11 00:00:00,Closed with explanation,Yes,,3429140
